Continent,Region/Country,Variable,Year,Quantity (per 1000 hl)
Europe,France,Consumption,1999, 35 400
Europe,Spain,Production,2010, 35 353
Europe,France,Consumption,2002, 34 820
Europe,France,Consumption,1996, 34 795
Europe,Italy,Consumption,1996, 34 693
Europe,France,Consumption,2000, 34 500
America,United States of America,Consumption,2022, 34 344
America,United States of America,Consumption,2019, 34 282
Europe,France,Consumption,2003, 34 081
Europe,France,Consumption,2001, 33 919
Europe,Spain,Production,1999, 33 723
America,United States of America,Consumption,2018, 33 718
Europe,Spain,Production,2019, 33 676
Europe,France,Consumption,2005, 33 530
Europe,Spain,Production,2002, 33 478
Europe,Spain,Production,2011, 33 397
Europe,France,Consumption,2004, 33 218
Europe,Spain,Production,1997, 33 218
America,United States of America,Consumption,2021, 33 079
Europe,France,Consumption,2006, 33 003
America,United States of America,Consumption,2020, 32 854
America,United States of America,Consumption,2017, 32 695
Europe,Spain,Production,2017, 32 480
Europe,France,Consumption,2007, 32 168
Europe,Italy,Consumption,1998, 31 840
America,United States of America,Consumption,2014, 31 687
Europe,Italy,Consumption,1999, 31 563
America,United States of America,Consumption,2013, 31 403
Europe,Spain,Production,1998, 31 175
Europe,Spain,Production,2012, 31 123
Europe,Spain,Production,1996, 31 000
America,United States of America,Consumption,2016, 30 959
Europe,Italy,Consumption,1997, 30 855
Europe,France,Consumption,2008, 30 800
Europe,Italy,Consumption,2000, 30 800
Europe,Spain,Production,2023, 30 745
Europe,Spain,Production,2001, 30 500
America,United States of America,Consumption,2015, 30 318
Europe,France,Consumption,2009, 30 214
Europe,Italy,Consumption,2001, 30 150
Europe,Italy,Consumption,2003, 29 343
Europe,France,Consumption,2010, 29 272
America,United States of America,Consumption,2011, 29 064
Europe,France,Consumption,2017, 28 634
Europe,France,Consumption,2011, 28 307
Europe,Italy,Consumption,2004, 28 300
Europe,France,Consumption,2016, 28 290
America,United States of America,Consumption,2012, 28 245
Europe,France,Consumption,2012, 28 022
America,United States of America,Consumption,2007, 27 850
Europe,France,Consumption,2013, 27 770
Europe,Italy,Consumption,2002, 27 709
America,United States of America,Consumption,2008, 27 700
Europe,France,Consumption,2014, 27 545
America,United States of America,Consumption,2010, 27 350
Europe,Italy,Consumption,2006, 27 332
America,United States of America,Consumption,2009, 27 250
Europe,Italy,Consumption,2005, 27 016
Europe,Italy,Consumption,2007, 26 700
America,United States of America,Consumption,2006, 26 700
Europe,France,Consumption,2015, 26 452
Europe,Italy,Consumption,2008, 26 166
America,United States of America,Production,2018, 26 074
Europe,France,Consumption,2018, 26 028
America,United States of America,Consumption,2005, 25 850
America,United States of America,Production,2013, 25 584
America,United States of America,Production,2019, 25 562
America,United States of America,Production,2023, 25 161
America,United States of America,Production,2016, 24 901
Europe,France,Consumption,2022, 24 872
America,United States of America,Consumption,2004, 24 750
Europe,France,Consumption,2019, 24 714
America,United States of America,Production,2017, 24 506
Europe,France,Consumption,2020, 24 361
America,United States of America,Production,2014, 24 253
Europe,Italy,Consumption,2020, 24 200
Europe,Italy,Consumption,2021, 24 100
America,United States of America,Production,2021, 24 070
America,United States of America,Consumption,2003, 23 801
Europe,Italy,Consumption,2010, 23 500
Europe,France,Consumption,2021, 23 228
Europe,Italy,Consumption,2009, 23 000
America,United States of America,Production,2005, 22 888
America,United States of America,Production,2015, 22 818
America,United States of America,Production,2020, 22 750
America,United States of America,Production,2012, 22 732
Europe,Italy,Consumption,2017, 22 600
Europe,Italy,Consumption,2019, 22 600
America,United States of America,Consumption,2002, 22 538
Europe,Italy,Consumption,2016, 22 400
Europe,Italy,Consumption,2018, 22 400
America,United States of America,Production,2022, 22 385
Europe,Italy,Consumption,2022, 22 300
Europe,Italy,Consumption,2011, 22 000
America,United States of America,Production,1997, 22 000
America,United States of America,Production,2009, 21 965
America,United States of America,Consumption,1995, 21 765
Europe,Italy,Consumption,2012, 21 600
America,United States of America,Production,2000, 21 500
Europe,Italy,Consumption,2015, 21 400
America,United States of America,Consumption,2001, 21 250
America,United States of America,Consumption,2000, 21 200
America,United States of America,Production,2010, 20 887
Europe,Spain,Production,1995, 20 876
America,United States of America,Consumption,1999, 20 858
Europe,Italy,Consumption,2013, 20 800
America,United States of America,Consumption,1997, 20 800
Europe,Germany,Consumption,2007, 20 782
America,United States of America,Consumption,1998, 20 748
Europe,Germany,Consumption,2008, 20 747
America,United States of America,Production,1998, 20 504
Europe,Germany,Consumption,2015, 20 500
America,United States of America,Consumption,1996, 20 463
Europe,Germany,Consumption,2013, 20 400
Europe,Germany,Consumption,2012, 20 300
Europe,Germany,Consumption,2014, 20 300
America,United States of America,Production,2002, 20 300
Europe,Germany,Consumption,2002, 20 272
Europe,Germany,Consumption,2009, 20 224
Europe,Germany,Consumption,2006, 20 210
Europe,Germany,Consumption,2010, 20 200
Europe,Germany,Consumption,2016, 20 200
Europe,Germany,Consumption,2000, 20 150
America,United States of America,Production,2004, 20 109
America,United States of America,Production,2011, 20 097
Europe,Germany,Consumption,2001, 20 044
Europe,Germany,Consumption,2018, 20 000
Europe,Germany,Consumption,2021, 19 900
America,United States of America,Production,2007, 19 870
Europe,Germany,Consumption,2005, 19 848
Europe,Germany,Consumption,2004, 19 845
Europe,Germany,Consumption,2020, 19 844
Europe,Germany,Consumption,2019, 19 800
Europe,Germany,Consumption,1999, 19 751
Europe,Germany,Consumption,2017, 19 745
Europe,Germany,Consumption,2003, 19 734
Europe,Germany,Consumption,2011, 19 707
Europe,Italy,Consumption,2014, 19 500
America,United States of America,Production,2003, 19 500
America,United States of America,Production,2006, 19 440
Europe,Germany,Consumption,2022, 19 400
America,United States of America,Production,2008, 19 340
Asia,"China, mainland",Consumption,2017, 19 280
America,United States of America,Production,2001, 19 200
Asia,"China, mainland",Consumption,2016, 19 162
America,United States of America,Production,1999, 19 050
Europe,Germany,Consumption,1998, 18 970
America,United States of America,Production,1996, 18 877
Europe,Germany,Consumption,1997, 18 794
Europe,Germany,Consumption,1996, 18 730
Europe,Germany,Consumption,1995, 18 728
Asia,"China, mainland",Consumption,2013, 18 714
America,United States of America,Production,1995, 18 668
Asia,"China, mainland",Consumption,2012, 18 525
Asia,"China, mainland",Consumption,2015, 18 057
Asia,"China, mainland",Consumption,2018, 17 568
Asia,"China, mainland",Consumption,2014, 17 369
Asia,"China, mainland",Consumption,2011, 16 454
America,Argentina,Production,1995, 16 443
America,Argentina,Production,2010, 16 250
Asia,"China, mainland",Production,2012, 16 065
America,Argentina,Production,1999, 15 888
America,Argentina,Production,2001, 15 835
America,Argentina,Production,2011, 15 473
America,Argentina,Production,2004, 15 464
America,Argentina,Production,2006, 15 396
Europe,Spain,Consumption,1995, 15 336
America,Argentina,Production,2005, 15 222
America,Argentina,Production,2014, 15 197
Asia,"China, mainland",Consumption,2010, 15 180
America,Argentina,Production,2007, 15 046
Asia,"China, mainland",Consumption,2019, 14 999
America,Argentina,Production,2013, 14 984
Oceania,Australia,Production,2021, 14 820
Europe,Spain,Consumption,1998, 14 793
Europe,Spain,Consumption,2003, 14 787
Oceania,Australia,Production,2004, 14 679
America,Argentina,Production,2008, 14 676
Europe,Spain,Consumption,1997, 14 589
America,Argentina,Production,2018, 14 522
Asia,"China, mainland",Consumption,2009, 14 514
Europe,Spain,Consumption,1996, 14 459
Europe,Spain,Consumption,2004, 14 330
Oceania,Australia,Production,2005, 14 301
Europe,Spain,Consumption,2005, 14 290
Oceania,Australia,Production,2006, 14 263
Europe,Spain,Consumption,1999, 14 249
Europe,Spain,Consumption,2001, 14 238
Asia,"China, mainland",Consumption,2008, 14 046
Europe,Spain,Consumption,2000, 14 046
Europe,Spain,Consumption,2002, 13 960
America,Argentina,Consumption,1995, 13 888
Asia,"China, mainland",Consumption,2007, 13 884
Europe,United Kingdom,Consumption,2007, 13 702
Asia,"China, mainland",Production,2013, 13 693
Oceania,Australia,Production,2017, 13 690
America,Argentina,Production,1997, 13 500
Asia,"China, mainland",Production,2014, 13 496
Europe,United Kingdom,Consumption,2008, 13 483
America,Chile,Production,2021, 13 437
Asia,"China, mainland",Production,2011, 13 426
America,Argentina,Consumption,1997, 13 390
America,Argentina,Consumption,1996, 13 365
America,Argentina,Production,2015, 13 362
Asia,"China, mainland",Production,2015, 13 345
America,Argentina,Production,2003, 13 225
Asia,"China, mainland",Production,2016, 13 217
Europe,United Kingdom,Consumption,2020, 13 160
Europe,United Kingdom,Consumption,2017, 13 148
Europe,United Kingdom,Consumption,2005, 13 143
Europe,United Kingdom,Consumption,2021, 13 124
Oceania,Australia,Production,2016, 13 100
Oceania,Australia,Production,2022, 13 070
Europe,United Kingdom,Consumption,2019, 13 034
America,Argentina,Production,2019, 13 019
Asia,"China, mainland",Consumption,2006, 13 012
Asia,"China, mainland",Production,2010, 13 000
Europe,United Kingdom,Consumption,2016, 12 935
Europe,United Kingdom,Consumption,2018, 12 904
Europe,United Kingdom,Consumption,2010, 12 900
America,Chile,Production,2018, 12 898
Europe,Russia,Consumption,2008, 12 892
America,Chile,Production,2015, 12 866
Europe,United Kingdom,Consumption,2011, 12 860
Europe,Spain,Consumption,2006, 12 852
Europe,United Kingdom,Consumption,2022, 12 834
America,Chile,Production,2013, 12 821
Europe,United Kingdom,Consumption,2012, 12 801
Asia,"China, mainland",Production,2009, 12 800
Europe,United Kingdom,Consumption,2015, 12 781
Europe,United Kingdom,Consumption,2004, 12 742
Oceania,Australia,Production,2018, 12 740
Europe,United Kingdom,Consumption,2013, 12 738
America,Argentina,Production,2002, 12 695
America,Argentina,Consumption,1998, 12 683
America,Argentina,Production,1996, 12 681
Europe,United Kingdom,Consumption,2009, 12 680
America,Argentina,Production,1998, 12 673
Europe,United Kingdom,Consumption,2006, 12 672
Europe,Russia,Consumption,2007, 12 610
Asia,"China, mainland",Production,2008, 12 600
America,Argentina,Consumption,1999, 12 567
Europe,Russia,Consumption,2011, 12 564
Europe,United Kingdom,Consumption,2014, 12 562
America,Chile,Production,2012, 12 554
America,Argentina,Production,2000, 12 537
Asia,"China, mainland",Production,2007, 12 500
America,Argentina,Consumption,2000, 12 491
America,Argentina,Production,2021, 12 482
Oceania,Australia,Production,2008, 12 448
America,Chile,Production,2022, 12 443
Asia,"China, mainland",Consumption,2020, 12 396
America,Argentina,Consumption,2003, 12 338
Oceania,Australia,Production,2013, 12 310
Asia,"China, mainland",Consumption,2005, 12 306
Oceania,Australia,Production,2012, 12 259
Oceania,Australia,Production,2002, 12 168
America,Argentina,Production,2009, 12 135
Europe,Germany,Production,1999, 12 123
Asia,"China, mainland",Consumption,2004, 12 120
America,Argentina,Consumption,2001, 12 036
Asia,"China, mainland",Consumption,2003, 11 993
America,Argentina,Consumption,2002, 11 988
Oceania,Australia,Production,2019, 11 970
America,Chile,Production,2019, 11 939
Oceania,Australia,Production,2015, 11 912
Asia,"China, mainland",Production,2006, 11 900
Europe,Russia,Consumption,2009, 11 895
Oceania,Australia,Production,2014, 11 863
America,Argentina,Production,2017, 11 821
Asia,"China, mainland",Production,2005, 11 800
Oceania,Australia,Production,2009, 11 784
America,Argentina,Production,2012, 11 778
Asia,"China, mainland",Production,2004, 11 700
Europe,Spain,Consumption,2007, 11 678
Asia,"China, mainland",Production,2017, 11 636
Asia,"China, mainland",Production,2003, 11 600
Europe,Russia,Consumption,2012, 11 598
Europe,United Kingdom,Consumption,2003, 11 584
Africa,South Africa,Production,2014, 11 460
America,Argentina,Production,2022, 11 451
Oceania,Australia,Production,2010, 11 420
Asia,"China, mainland",Consumption,2002, 11 364
Africa,South Africa,Production,2015, 11 231
Europe,United Kingdom,Consumption,2002, 11 222
Europe,Russia,Consumption,2006, 11 210
Asia,"China, mainland",Production,2002, 11 200
Oceania,Australia,Production,2011, 11 180
America,Argentina,Consumption,2007, 11 166
America,Argentina,Consumption,2004, 11 113
America,Argentina,Consumption,2006, 11 103
Africa,South Africa,Production,2013, 10 982
America,Argentina,Consumption,2005, 10 972
Asia,"China, mainland",Consumption,1998, 10 964
Asia,"China, mainland",Consumption,2001, 10 952
Oceania,Australia,Production,2020, 10 900
Oceania,Australia,Production,2003, 10 835
Europe,Germany,Production,1998, 10 834
Africa,South Africa,Production,2021, 10 826
Africa,South Africa,Production,2017, 10 820
Asia,"China, mainland",Production,2001, 10 800
America,Argentina,Production,2020, 10 796
Europe,Russia,Consumption,2010, 10 743
Europe,Spain,Consumption,2018, 10 741
Oceania,Australia,Production,2001, 10 731
Asia,"China, mainland",Consumption,2000, 10 695
America,Argentina,Consumption,2008, 10 677
Asia,"China, mainland",Production,1998, 10 645
Europe,Spain,Consumption,2016, 10 578
Africa,South Africa,Production,2012, 10 569
Europe,Russia,Consumption,2013, 10 555
Asia,"China, mainland",Consumption,1999, 10 546
Africa,South Africa,Production,2016, 10 531
Asia,"China, mainland",Production,2000, 10 500
Asia,"China, mainland",Consumption,2021, 10 492
America,Chile,Production,2011, 10 464
Europe,Spain,Consumption,2009, 10 415
Africa,South Africa,Production,2020, 10 385
Europe,Spain,Consumption,2017, 10 373
Europe,Spain,Consumption,2010, 10 359
America,Argentina,Consumption,2013, 10 352
America,Argentina,Consumption,2009, 10 342
America,Chile,Production,2020, 10 337
Africa,South Africa,Production,2022, 10 337
Europe,United Kingdom,Consumption,2001, 10 336
Europe,Spain,Consumption,2021, 10 311
America,Argentina,Consumption,2015, 10 269
Europe,Germany,Production,2018, 10 268
Asia,"China, mainland",Production,1999, 10 261
Europe,Germany,Production,2007, 10 261
Europe,Spain,Consumption,2019, 10 222
Europe,Russia,Consumption,2005, 10 193
Africa,South Africa,Production,2008, 10 165
America,Chile,Production,2016, 10 143
America,Chile,Production,2009, 10 093
America,Argentina,Consumption,2012, 10 051
Europe,Germany,Production,2004, 10 007
Europe,Germany,Production,2008, 9 991
Africa,South Africa,Production,2009, 9 986
America,Chile,Production,2023, 9 954
Europe,Spain,Consumption,2011, 9 950
America,Argentina,Consumption,2014, 9 938
Oceania,Australia,Production,2023, 9 933
America,Chile,Production,2014, 9 896
Europe,Germany,Production,2002, 9 885
Europe,Russia,Consumption,2014, 9 881
Europe,Germany,Production,2000, 9 852
Europe,Spain,Consumption,2012, 9 850
Europe,Spain,Consumption,2013, 9 820
Europe,Spain,Consumption,2014, 9 810
Europe,Spain,Consumption,2015, 9 810
America,Argentina,Consumption,2011, 9 809
Africa,South Africa,Production,2007, 9 783
Europe,Spain,Consumption,2022, 9 767
America,Argentina,Consumption,2010, 9 753
Africa,South Africa,Production,2011, 9 725
Europe,Portugal,Production,1996, 9 712
Africa,South Africa,Production,2019, 9 705
Europe,United Kingdom,Consumption,2000, 9 696
Europe,Russia,Consumption,2015, 9 658
Oceania,Australia,Production,2007, 9 620
Europe,Spain,Consumption,2008, 9 542
Africa,South Africa,Production,2018, 9 503
America,Chile,Production,2017, 9 492
America,Argentina,Production,2016, 9 447
America,Argentina,Consumption,2020, 9 430
America,Argentina,Consumption,2016, 9 416
Africa,South Africa,Production,2006, 9 398
Europe,Russia,Consumption,2016, 9 370
Africa,South Africa,Production,2010, 9 327
Africa,South Africa,Production,2023, 9 306
Europe,United Kingdom,Consumption,1999, 9 284
Africa,South Africa,Production,2004, 9 279
Asia,"China, mainland",Production,2018, 9 269
Europe,Germany,Production,2009, 9 228
Europe,Spain,Consumption,2020, 9 218
Asia,"China, mainland",Consumption,1997, 9 215
Europe,Germany,Production,2014, 9 202
Europe,Russia,Consumption,2004, 9 159
Europe,Germany,Production,2005, 9 153
Europe,Germany,Production,2011, 9 132
Europe,Russia,Consumption,2017, 9 041
Europe,Germany,Production,2016, 9 013
Europe,Germany,Production,2012, 9 012
Asia,"China, mainland",Production,1997, 9 000
Europe,Germany,Production,2023, 9 000
Europe,Germany,Production,2022, 8 940
America,Argentina,Consumption,2017, 8 925
Europe,Germany,Production,2006, 8 916
Europe,Germany,Production,2001, 8 891
Africa,South Africa,Production,2003, 8 853
America,Chile,Production,2010, 8 844
Europe,Germany,Production,2015, 8 819
Asia,"China, mainland",Consumption,2022, 8 815
America,Argentina,Production,2023, 8 813
Europe,United Kingdom,Consumption,1998, 8 765
America,Chile,Production,2008, 8 683
Europe,Russia,Consumption,2003, 8 682
Europe,Russia,Consumption,2019, 8 682
Europe,Germany,Production,1996, 8 642
Europe,Russia,Consumption,2018, 8 615
America,Argentina,Consumption,2019, 8 532
Oceania,Australia,Production,1999, 8 511
Europe,Germany,Production,1995, 8 510
Europe,Germany,Production,1997, 8 495
Europe,Russia,Consumption,2020, 8 485
Africa,South Africa,Production,1996, 8 451
America,Chile,Production,2006, 8 448
Europe,Germany,Production,2021, 8 448
Europe,Germany,Production,2013, 8 409
Africa,South Africa,Production,2005, 8 406
Europe,Germany,Production,2020, 8 405
America,Argentina,Consumption,2018, 8 396
Europe,Russia,Consumption,2022, 8 394
America,Argentina,Consumption,2021, 8 381
Africa,South Africa,Production,1995, 8 339
America,Argentina,Consumption,2022, 8 276
America,Chile,Production,2007, 8 227
Europe,Germany,Production,2019, 8 218
Europe,Germany,Production,2003, 8 191
Europe,United Kingdom,Consumption,1997, 8 148
Africa,South Africa,Production,1997, 8 115
Europe,Russia,Consumption,2021, 8 069
Oceania,Australia,Production,2000, 8 064
Africa,South Africa,Production,1999, 7 968
America,Chile,Production,2005, 7 885
Europe,Portugal,Production,1999, 7 844
Asia,"China, mainland",Production,2019, 7 824
Europe,Portugal,Production,2001, 7 789
Africa,South Africa,Production,1998, 7 703
Europe,Romania,Production,1996, 7 663
Europe,Portugal,Production,2006, 7 542
Asia,"China, mainland",Production,1996, 7 500
Europe,Portugal,Production,2004, 7 481
Europe,Germany,Production,2017, 7 462
Asia,"China, mainland",Consumption,1996, 7 439
Oceania,Australia,Production,1998, 7 415
Europe,Portugal,Production,2023, 7 415
Europe,Portugal,Production,2021, 7 359
Europe,Portugal,Production,2003, 7 340
Europe,Russia,Production,2007, 7 280
Europe,Portugal,Production,2005, 7 266
Europe,Portugal,Production,1995, 7 255
Africa,South Africa,Production,2002, 7 189
Europe,Portugal,Production,2010, 7 148
Europe,Russia,Production,2008, 7 110
Europe,Portugal,Production,2015, 7 048
Asia,"China, mainland",Production,1995, 7 000
Africa,South Africa,Production,2000, 6 949
Europe,Russia,Consumption,1995, 6 915
Asia,"China, mainland",Consumption,1995, 6 911
Europe,Germany,Production,2010, 6 906
Europe,Romania,Consumption,1996, 6 900
Europe,Portugal,Production,2022, 6 848
Europe,United Kingdom,Consumption,1996, 6 811
Europe,Russia,Production,2010, 6 756
Europe,Portugal,Production,2017, 6 737
Oceania,Australia,Production,1996, 6 734
Europe,Romania,Production,1995, 6 720
Europe,Portugal,Production,2000, 6 710
Europe,Romania,Production,2009, 6 703
Europe,Romania,Production,1997, 6 688
America,Chile,Production,2003, 6 682
Europe,Portugal,Production,2002, 6 677
America,Chile,Production,2000, 6 674
Asia,"China, mainland",Production,2020, 6 587
Europe,Romania,Consumption,1995, 6 554
Europe,Portugal,Production,2019, 6 527
Europe,Romania,Consumption,1997, 6 500
Africa,South Africa,Production,2001, 6 471
Europe,Portugal,Production,2020, 6 418
Europe,Russia,Consumption,2002, 6 404
Europe,Portugal,Production,2012, 6 327
Europe,United Kingdom,Consumption,1995, 6 303
America,Chile,Production,2004, 6 301
Europe,Russia,Production,2006, 6 280
Europe,Russia,Production,2011, 6 242
Europe,Portugal,Production,2013, 6 231
Europe,Portugal,Production,2014, 6 206
Oceania,Australia,Production,1997, 6 174
Europe,Romania,Production,2004, 6 166
Europe,Portugal,Production,1997, 6 124
Europe,Portugal,Production,2007, 6 073
Europe,Russia,Consumption,2001, 6 067
Europe,Romania,Consumption,2009, 6 066
Europe,Portugal,Production,2018, 6 060
Europe,Romania,Production,1999, 6 054
Europe,Portugal,Consumption,2022, 6 022
Europe,Portugal,Production,2016, 6 010
Oceania,Australia,Consumption,2020, 5 950
Asia,"China, mainland",Production,2021, 5 908
Europe,Portugal,Production,2009, 5 894
Europe,Romania,Consumption,1999, 5 823
Oceania,Australia,Consumption,2019, 5 803
Europe,Romania,Consumption,2004, 5 800
Europe,Russia,Production,2012, 5 724
Europe,Portugal,Production,2008, 5 689
Europe,Portugal,Consumption,1995, 5 684
America,Chile,Production,2002, 5 623
Europe,Portugal,Production,2011, 5 622
Oceania,Australia,Consumption,2021, 5 604
Europe,Russia,Production,2015, 5 603
Europe,Romania,Production,2003, 5 555
Europe,Romania,Consumption,2007, 5 539
Oceania,Australia,Consumption,2015, 5 476
America,Chile,Production,1998, 5 475
Europe,Romania,Consumption,2008, 5 466
Europe,Romania,Production,2002, 5 461
Europe,Romania,Production,2000, 5 456
America,Chile,Production,2001, 5 452
Europe,Portugal,Consumption,1996, 5 443
Oceania,Australia,Consumption,2012, 5 420
Oceania,Australia,Consumption,2014, 5 418
Oceania,Australia,Consumption,2011, 5 406
Europe,Hungary,Production,2001, 5 406
Europe,Romania,Consumption,1998, 5 400
Europe,Portugal,Consumption,2019, 5 390
Oceania,Australia,Consumption,2010, 5 389
Oceania,Australia,Consumption,2016, 5 380
Oceania,Australia,Consumption,2013, 5 379
Europe,Russia,Consumption,1997, 5 368
Oceania,Australia,Consumption,2017, 5 360
Oceania,Australia,Consumption,2022, 5 337
Europe,Portugal,Consumption,2003, 5 315
Europe,Romania,Production,2007, 5 289
Europe,Portugal,Consumption,2017, 5 273
Oceania,Australia,Consumption,2018, 5 272
Europe,Hungary,Production,2004, 5 272
Europe,Portugal,Consumption,2021, 5 269
Europe,Portugal,Consumption,1997, 5 223
Europe,Romania,Consumption,2000, 5 215
Europe,Russia,Production,2016, 5 173
Europe,Romania,Production,2008, 5 159
Oceania,Australia,Consumption,2009, 5 122
Europe,Russia,Production,2004, 5 120
Europe,Romania,Production,2013, 5 113
Europe,Romania,Production,2001, 5 090
Europe,Romania,Production,2018, 5 088
Europe,Russia,Consumption,1998, 5 082
Europe,Portugal,Consumption,2018, 5 073
Europe,Romania,Consumption,2010, 5 070
Europe,Russia,Production,2013, 5 065
Europe,Portugal,Consumption,1998, 5 055
Europe,Portugal,Consumption,1999, 5 054
Europe,Romania,Consumption,2003, 5 050
Oceania,Australia,Consumption,2008, 5 043
Oceania,Australia,Production,1995, 5 028
Europe,Romania,Production,2006, 5 014
Europe,Romania,Production,1998, 5 002
America,Canada,Consumption,2016, 4 996
Europe,Portugal,Consumption,2012, 4 994
Europe,Romania,Consumption,2002, 4 964
America,Canada,Consumption,2017, 4 954
Europe,Portugal,Consumption,2004, 4 913
Europe,Portugal,Consumption,2005, 4 900
Europe,Russia,Production,2023, 4 900
Europe,Russia,Production,2022, 4 888
America,Canada,Consumption,2013, 4 878
Oceania,Australia,Consumption,2007, 4 869
America,Canada,Consumption,2018, 4 867
America,Canada,Consumption,2012, 4 859
America,Canada,Consumption,2015, 4 835
Europe,Portugal,Consumption,2015, 4 813
America,Chile,Production,1999, 4 807
Europe,Portugal,Consumption,2011, 4 802
Europe,Portugal,Consumption,2006, 4 793
